drug,reaction,case_count,a,b,c,d,drug_total_reports,reaction_total_reports,PRR,ROR,chi_squared,p_value,signal_detected,deaths,life_threatening,disabling,hospitalizations,n,severity_score,priority_score,narrative
TRAMADOL,SEIZURE,369,369,1137,483,13011,1506,852,6.85,8.74,1103.12,0.0,True,14,38,28,97,369,1.045,7.16,"A potential safety signal has been identified between Tramadol and Seizure. Across 369 reports, this combination occurs 6.85x more frequently than expected relative to the background reporting rate (PRR = 6.85, ROR = 8.74), representing a strong disproportionality signal. Of these reports, 14 involved a fatal outcome and 97 required hospitalization, indicating this signal warrants clinical review. This automated output is a preliminary screening result and should be confirmed by a qualified pharmacovigilance reviewer against individual case narratives before any regulatory action is considered."
SERTRALINE,SUICIDAL IDEATION,457,457,1041,955,12547,1498,1412,4.31,5.77,865.65,0.0,True,12,32,44,126,457,0.947,4.08,"A potential safety signal has been identified between Sertraline and Suicidal Ideation. Across 457 reports, this combination occurs 4.31x more frequently than expected relative to the background reporting rate (PRR = 4.31, ROR = 5.77), representing a strong disproportionality signal. Of these reports, 12 involved a fatal outcome and 126 required hospitalization, indicating this signal warrants clinical review. This automated output is a preliminary screening result and should be confirmed by a qualified pharmacovigilance reviewer against individual case narratives before any regulatory action is considered."
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,814,814,636,2014,11536,1450,2828,3.78,7.33,1455.85,0.0,True,19,78,58,236,814,0.982,3.71,"A potential safety signal has been identified between Warfarin and Gastrointestinal Haemorrhage. Across 814 reports, this combination occurs 3.78x more frequently than expected relative to the background reporting rate (PRR = 3.78, ROR = 7.33), representing a moderate disproportionality signal. Of these reports, 19 involved a fatal outcome and 236 required hospitalization, indicating this signal warrants clinical review. This automated output is a preliminary screening result and should be confirmed by a qualified pharmacovigilance reviewer against individual case narratives before any regulatory action is considered."
ATORVASTATIN,LIVER INJURY,310,310,1211,836,12643,1521,1146,3.29,3.87,387.41,0.0,True,5,25,27,89,310,0.927,3.05,"A potential safety signal has been identified between Atorvastatin and Liver Injury. Across 310 reports, this combination occurs 3.29x more frequently than expected relative to the background reporting rate (PRR = 3.29, ROR = 3.87), representing a moderate disproportionality signal. Of these reports, 5 involved a fatal outcome and 89 required hospitalization, indicating this signal warrants clinical review. This automated output is a preliminary screening result and should be confirmed by a qualified pharmacovigilance reviewer against individual case narratives before any regulatory action is considered."
PREDNISONE,TENDON RUPTURE,952,952,570,2974,10504,1522,3926,2.83,5.9,1157.85,0.0,True,24,86,62,268,952,0.95,2.69,"A potential safety signal has been identified between Prednisone and Tendon Rupture. Across 952 reports, this combination occurs 2.83x more frequently than expected relative to the background reporting rate (PRR = 2.83, ROR = 5.9), representing a moderate disproportionality signal. Of these reports, 24 involved a fatal outcome and 268 required hospitalization, indicating this signal warrants clinical review. This automated output is a preliminary screening result and should be confirmed by a qualified pharmacovigilance reviewer against individual case narratives before any regulatory action is considered."
WARFARIN,ACUTE KIDNEY INJURY,18,18,1432,143,13407,1450,161,1.18,1.18,0.27,0.60355,False,3,3,1,7,18,2.028,2.39,
ATORVASTATIN,ACUTE KIDNEY INJURY,25,25,1496,136,13343,1521,161,1.63,1.64,4.6,0.03189,False,1,3,3,5,25,1.1,1.79,
METFORMIN,MYOCARDIAL INFARCTION,176,176,1252,1395,12177,1428,1571,1.2,1.23,5.55,0.01843,False,7,16,17,52,176,1.108,1.33,
LISINOPRIL,MYOCARDIAL INFARCTION,197,197,1350,1374,12079,1547,1571,1.25,1.28,9.14,0.0025,False,5,18,14,65,197,1.038,1.3,
LISINOPRIL,ACUTE KIDNEY INJURY,14,14,1533,147,13306,1547,161,0.83,0.83,0.3,0.58349,False,1,2,1,6,14,1.571,1.3,
